id,name,price,category,condition,enStock,description,Image
e_60,Team Group 256Gb Ms30 SSD Sata3 6Gb/S M.2 SATA,,disco-solido-m.2,Nuevo,TRUE,,https://www.hardware-corner.net/wp-content/uploads/ssd/Team-MS30.jpg
e_61,Disco Solido Lenovo 512Gb Ln860 M.2 3500Mbs Pcie 3.0,,disco-solido-m.2,Nuevo,TRUE,,https://www.idcmayoristas.com/wp-content/uploads/2024/10/Disco-Solido-512gb-Wester-Digital-007885.png
e_62,Western Digital Blue 500Gb M.2 NVMe Pcie Sn550,,disco-solido-m.2,Nuevo,TRUE,,https://bluearm.ph/cdn/shop/files/42_13f14298-e3c5-4992-bde1-f24bdbc6335f.jpg?v=1697866368
e_64,Disco Solido Hiksemi 512Gb Wave NVMe M.2 Pcie3.0 2280Mb/S,,disco-solido-m.2,Nuevo,TRUE,,https://informatics-dz.com/wp-content/uploads/2024/09/HIKSEMI-Wave-Series-512GB-NVMe-SSD--1024x1024.jpg
e_65,Wester Digital Blue 1Tb M2 Sn550 NVMe Express 2400Mbs,,disco-solido-m.2,Nuevo,TRUE,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=275370597630726
e_66,Disco Solido Hiksemi 512Gb M.2 Wave Pro Pcie3.0 3500Mb/S,,disco-solido-m.2,Nuevo,TRUE,,https://www.ipohonline.biz/image/ipohonline/image/data/all_product_images/product-5927/ssd-hiksemi-wave-pro-512gb-010.jpg
e_67,Gigabyte 512Gb M.2 NVMe SSD 2280,,disco-solido-m.2,Nuevo,TRUE,,https://trivico.la/images/products/detail/SSD-M.2-2280-NVME-2Tb-PCIe-Gen3-x4-Lexar-NM610-PRO-DTD814.jpg
e_68,Crusial 500Gb M.2 NVMe P5,,disco-solido-m.2,Nuevo,TRUE,,https://files.pccasegear.com/images/1593559576-CT500P5SSD8-thb.jpg
e_69,Western Digital Green 500Gb M.2 Sn3000 Sandisk NVMe SSD M.2 2280 Mb/5000 Pcie 4.0,,disco-solido-m.2,Nuevo,TRUE,,https://www.sandisk.com/content/dam/sandisk/en-us/assets/products/internal-storage/wd-green-sn3000-nvme-ssd/gallery/wd-green-sn3000-nvme-ssd-left.png
e_70,Kingston 1Tb Nv3 M.2 Pcie4.0 NVMe 6000Mb/S,,disco-solido-m.2,Nuevo,TRUE,,https://informatics-dz.com/wp-content/uploads/2024/12/Kingston-NV3-1TB-PCIe-Gen-4.0-NVMe-SSD-scaled.webp
